,reading,task1,task2,task3,task4
mean,875.5321413822359,823.5178604599203,836.0089175152613,898.0870720475166,820.7945025985384
SDNN,73.94428916223934,69.03365790534849,81.79902094215484,123.09296341093699,72.34806975020035
pNN50,0.5416666666666666,0.3568075117370892,0.2698412698412698,0.358974358974359,0.3216374269005848
RMSSD,67.43773822198781,50.34099796786975,52.67831328028344,118.8227138415681,52.48336813613053
VLF,1236.6753639554915,1691.712855962046,2135.0362314095264,3304.7129371418464,1539.9849821907005
LF,457.991655214878,386.9091712183543,391.56627624837677,1174.9387074387641,778.391641649215
HF,832.0008319976357,384.8907513945064,303.2370443362746,1174.3141183902703,277.58663188105146
LF/HF,0.5504701889723345,1.0052441369831175,1.2912877353274472,1.0005318756188932,2.8041395090768035
totalPow,2526.667851168005,2463.512778574907,2829.839551994178,5653.96576297088,2595.963255720967
LPS,7482.149360782588,5775.189294131733,8742.923402420449,33620.9229919698,6865.864000704177
