,task1,task2,task3,task4
correct,0.78125,0.7625,0.7263157894736842,0.7424242424242424
error,0.21875,0.2375,0.2736842105263158,0.25757575757575757
CA,12.0,10.0,10.0,6.0
PE,0.041666666666666664,0.0625,0.07368421052631578,0.09090909090909091
NPE,0.17708333333333334,0.175,0.2,0.16666666666666666
PEm,0.16666666666666666,0.175,0.18947368421052632,0.13636363636363635
NPEm,0.052083333333333336,0.0625,0.08421052631578947,0.12121212121212122
DMS,0.0,0.0,0.010526315789473684,0.030303030303030304
TO,0.0,16.0,1.0,30.0
RT,1234.5234135416667,1092.7714729166673,1509.703219791667,931.1936260416669
