answer,choicedCardRule,sortingRule,RT 
0,0,0,1302.0925 
0,0,0,2467.6183 
0,0,0,872.2989 
0,0,0,885.61 
0,0,0,1100.4827 
0,0,0,1053.0832 
1,0,2,836.9587 
1,1,2,2203.1587 
0,2,2,2120.7313 
0,2,2,1343.8146 
0,2,2,1129.4936 
0,2,2,1078.2905 
0,2,2,900.2005 
0,2,2,1277.3548 
1,2,1,1529.2469 
1,0,1,1505.3021 
0,1,1,2125.899 
0,1,1,1557.6003 
0,1,1,1605.3227 
0,1,1,1085.7311 
0,1,1,2252.4223 
0,1,1,1589.6095 
0,0,0,829.7814 
0,0,0,3256.1485 
0,0,0,1293.8188 
0,0,0,942.401 
0,0,0,820.0666 
0,0,0,877.8354 
1,0,2,1016.6121 
0,2,2,2478.6436 
0,2,2,1496.8213 
0,2,2,1390.206 
0,2,2,941.5494 
0,2,2,876.8746 
0,2,2,974.139 
1,2,1,910.0385 
0,1,1,2132.8431 
0,1,1,1612.7695 
0,1,1,845.8478 
0,1,1,2261.298 
0,1,1,2221.8896 
0,1,1,1197.5904 
1,1,2,1397.5568 
1,0,2,1821.3406 
0,2,2,2103.0779 
0,2,2,820.232 
0,2,2,1054.2708 
0,2,2,1613.16 
